打ち合わせ議事録｜モックアップ修正内容まとめ,,,
日雇い賃金システム　リニューアル検討　修正要件整理　｜　作成日：2026年4月2日　　参加者：村上、加藤、若山拓海,,,
No.,対象ページ / 項目,修正内容,優先度
■ 全体・サイドバー / ナビゲーション,,,
1,サイドバー全体,不要な項目を非表示にできるカスタマイズ機能を設ける。,高
2,システム設定,使用頻度が極めて低いため、サイドバーから除去し、右上の歯車アイコン（通知マークの隣）をクリックすると展開表示される仕様に変更する。,高
3,ナビゲーション用語,「勤怠ローム」という名称を業界用語に合わせた名称（例：「店舗」「点呼」など）に変更する。,高
■ マスター設定（全社共通マスター）,,,
4,ページ名称,名称を「全社共通マスター」に変更する。,高
5,タブ構成,タブを「人（従業員系）」「車両系」「運行系」の3つに整理統合する。,高
6,スクロール方向,横スクロール・カルーセルは採用しない。縦スクロールで展開表示する。,中
7,編集UI,鉛筆マーク（編集ボタン）をクリックすると、車両管理と同じUXでアコーディオン展開する仕様にする。,高
8,「作業員（会社）」項目名,「所属先」に名称変更する。,中
9,「会社」タブ削除,「会社」タブは人員管理に統合するため削除する。,高
10,登録データの範囲,全社共通マスターには車両のルート・車種・日当のベースデータのみを登録する（誰が乗るかは作業日報で管理）。,高
■ 人員管理ページ,,,
11,タブ構成,「全員」「日雇い」「振り込み（継続雇用）」の3タブで切り替えられるよう変更する。,高
12,「会社」タブ,賃金ルールページで管理するため削除し、人員管理に統合する。,高
13,詳細編集UI,各人物の編集マークをクリックすると、車両管理と同じ仕様で全画面の詳細設定画面が展開表示される。,高
14,支払い方法項目,「支払い方法」項目（キャッシュマシン / 振り込み）を人ごとに追加する。,高
15,社会保険料の自動計算,厚労省公表の算定ロジックデータをマスターに登録し、賃金台帳の実績から標準報酬月額・保険料を自動更新する機能を追加する（手動編集機能は補助的に残す）。,高
■ 賃金ルール（日当設定）ページ,,,
16,ページ名称,名称を「日当設定」または「日当編集」に変更する。,高
17,賃金ルールの設計,所属先ごと・車種ごとに日当が異なる仕様であることを明示した設計にする（所属先×車種の組み合わせで日当が決まる）。,高
18,単価編集ボタン,途中帰宅・負傷帰宅など例外時に対応する単価編集ボタン（エラー対応用）を設ける。,中
■ 作業日報ページ,,,
19,未確定機能,当日まで担当者名が確定していない場合に「未確定」を選択できる機能を追加する。,高
20,双方向リアルタイム反映,日報側・点呼側どちらから名前を入力しても双方向でリアルタイム反映される仕様にする（現状の一方向制約を解消）。,高
21,前日データの引き継ぎ,前日のデータをデフォルトで翌日に引き継ぐ機能を検討する（変更分のみ修正できる効率化）。,中
22,入力フロー,日付カレンダーから日付を選択すると当日の車両リスト（ルート・車種・日当）が表示され、担当者名を入力する流れにする。,高
■ 賃金支払いページ,,,
23,「出退勤」表示の変更,業界の運用に合わせた表現に変更する（日当固定が基本のため退勤打刻ベースではなく単価×日当での計算）。,高
24,支払い方法タブ,「キャッシュマシン（現金手渡し）」タブと「振り込み」タブに分ける。,高
25,キャッシュマシン出力,紙幣枚数の内訳（禁止表）を表示し、PDF/CSVで出力できる機能を設ける。,高
26,振り込みFBデータ出力,月末締め・翌月10日払いの処理に対応するFBデータ出力機能に対応する（別システムとの兼ね合いは要確認）。,中
■ ダッシュボードページ,,,
27,棒グラフの内訳追加,支払い方法別（日雇い / 振り込み）の内訳を追加し、増減トレンドも把握できるようにする。,中
28,表示期間の切り替え,月別・週別・日別の切り替え機能を維持する。,低
29,右側表示項目,ほぼ現状維持。詳細は次回打ち合わせで詰める。,低
■ 集計ページ,,,
30,位置づけ,ダッシュボードの数値版として人ごとの月合計などを表示する。,中
31,詳細項目,必要性・詳細な項目内容は引き続き検討。,低
■ 賃金台帳ページ,,,
32,表示項目の絞り込み,一覧の表示項目を最小限に絞り込む（現状は項目が多すぎて見づらい）。,高
33,詳細ボタン,各行に「詳細ボタン」を設け、クリックで年額・徴収済み情報などを展開表示する仕様にする。,高
34,権限設定,詳細ページへのアクセスに閲覧のみ / 編集可の権限設定を付与できる機能を追加する。,中
35,雇用区分別表示,日雇い（因子で保険対応）と継続雇用（振り込み・社会保険）で表示項目を分けて管理する。,高
■ 因子管理ページ,,,
36,因子種別のフィルタリング,「健康保険（一般）」「健康保険（介護あり・40歳以上）」「雇用保険」の3種類でフィルタリング・タブ分け表示できるようにする。,高
37,受け払い簿機能,入庫数・使用数・残数を管理するハローワーク提出用の受け払い簿機能を設ける。,高
38,管理軸,「誰が何を使ったか（人別）」と「会社が毎日どの因子を何枚使ったか（日別・月別）」の2軸で閲覧できるよう設計する。日別・月別フィルタリング機能を設ける。,高
39,ハローワーク提出用出力,月次提出に対応した所定ひな形でのデータ出力機能を実装する（ひな形は後日共有）。,高
40,算定ロジック自動適用,厚労省公表の因子等級データをマスターに登録することで、算定ロジックを自動適用できる仕様にする。,高
■ 現金納付ページ,,,
41,ページ削除,独立したページとして削除する。,高
42,代替対応,因子管理ページ内に「手帳なし」ステータスを項目として追加し、フィルタリングで対応する。,高
■ 確認事項・次回アクション,,,
43,モックアップ更新,上記内容をモックアップに反映後、月曜日（または土曜日4日13時〜）に再共有する。,高
44,ひな形共有,受け払い簿の紙帳票ひな形をGoogleドライブに格納する（ラインにて送付済み）。,高
45,振り込み処理の確認,振り込み対応の月次処理が既存の別システムと統合されているか否かを担当者に確認する。,高
46,次回打ち合わせ,土曜日（4日）13時〜、日雇い賃金システムの追加すり合わせを実施予定。,高
