第二回打ち合わせ　修正内容まとめ,,,
日雇い賃金管理システム　第二回要件打ち合わせ（社会保険・UI刷新・システム統合）,,,
No.,対象ページ,修正内容,優先度
集計ページ,,,
1,集計ページ,個人別賃金集計表に集計期間フィルターを追加する,高
2,集計ページ,残業時間の閾値フィルター（ユーザー定義値）を追加し、閾値超過者を赤字・太字でハイライト表示する,高
3,集計ページ,チェックボックスによる表示列の選択機能と「全選択」ボタンを追加する,中
4,集計ページ,所属先別フィルタリングを実装し、全従業員表示と所属別ドリルダウン表示を切り替え可能にする,中
5,集計ページ,会社別に分けて帳票を印刷できる機能を追加する,中
6,集計ページ,車種別集計に主要5項目を表示し、詳細をクリックで展開できるようにする,中
7,集計ページ,車種別集計にソート・フィルター機能を追加する,中
8,集計ページ,集計データのCSV・PDFエクスポート機能を追加する（出力フォーマットは別途確定）,中
点呼ページ（新機能追加）,,,
9,点呼ページ（新機能追加）,プラスアルファ手当の入力フォーム（手当名称・金額・理由）を追加する,高
10,点呼ページ（新機能追加）,賃金確定時、マスターデータとの差異を検知した場合にポップアップ警告を表示する,高
作業日報ページ,,,
11,作業日報ページ,行き先・車両の変更・編集ボタンを追加し、点呼システムとの双方向連携を実装する,中
マスター設定（新機能追加）,,,
12,マスター設定（新機能追加）,特別期間手当の設定機能を追加する（対象期間・手当名称・金額・所属先を設定可能）,中
13,マスター設定（新機能追加）,社会保険の算定条件および標準報酬月額等級表をマスターに登録・管理できるようにする,高
14,マスター設定（新機能追加）,有給付与ルールの設定機能を追加する（付与月数・出勤率・付与日数を設定可能）,中
社会保険自動化（新規大要件）,,,
15,社会保険自動化（新規大要件）,月初に社会保険の加入・脱退対象者を自動判定する機能を実装する,高
16,社会保険自動化（新規大要件）,前月の出勤日数を基に標準報酬月額等級を自動計算する機能を実装する,高
17,社会保険自動化（新規大要件）,社会保険料の引き過ぎを検知した場合の還付アラート機能を追加する,高
18,社会保険自動化（新規大要件）,社会保険料率の更新は政府APIが非提供のため、AI監視＋月初手動確認＋免責契約の方針で運用する,高
19,社会保険自動化（新規大要件）,有給申請のデジタル化については、運用リスクを考慮し段階的・慎重なアプローチで検討する,低
勤怠ページ整理・削除,,,
20,勤怠ページ整理・削除,「運行実績」「週休」「仕分け」の各メニューをマスター設定側に移動する,中
21,勤怠ページ整理・削除,「アルバイト」メニューを人員管理の雇用種別に統合し、専用ページを削除する,中
22,勤怠ページ整理・削除,「日報」「天候棒」を削除する,低
23,勤怠ページ整理・削除,「燃費集計」を車両管理システムに移管し、本システムからは削除する,中
24,勤怠ページ整理・削除,「稼働分析」をマスターの分析メニューへ移動する,中
全体UI・レイアウト（大変更）,,,
25,全体UI・レイアウト（大変更）,左サイドバーナビゲーションを廃止する,高
26,全体UI・レイアウト（大変更）,画面上部にGoogleスタイルの9ドットグリッドメニューを設置し、システム間の切り替えに使用する,高
27,全体UI・レイアウト（大変更）,システム切り替えは同一画面内で完結させ、タブの増殖を防ぐ仕様にする,高
28,全体UI・レイアウト（大変更）,ナイトモード切り替えボタンを画面上部に追加する,低
29,全体UI・レイアウト（大変更）,画面上部の日時表示を削除する,低
30,全体UI・レイアウト（大変更）,各システムに個別の分析メニューを設置する,中
31,全体UI・レイアウト（大変更）,複数システムを契約している企業向けに、横断的な統合分析画面を設ける,中
システム範囲・外部連携,,,
32,システム範囲・外部連携,本システムの対象範囲を日雇い従業員と継続雇用（契約社員）とし、正社員は給与奉行クラウドで管理する方針を確認・合意する,高
33,システム範囲・外部連携,SmartHRからのCSVエクスポートを本システムの従業員マスターにインポートする連携機能を実装する,中
